"","H2O2","IL.1","JAK.STAT","MAPK_only","MAPK_PI3K","TLR","PI3K_only","TGFB","TNFa","VEGF","Wnt"
"EKVX",1.27226,1.40036,-0.68079,1.28027,-0.12955,-0.49839,0.63984,0.83681,1.21112,0.23004,-1.40298
"EM-2",-1.03183,-1.20641,2.84534,0.68715,-2.07007,1.69551,-0.70452,0.16099,-1.07073,-1.25694,0.7737
"EMC-BAC-1",0.15102,0.75763,-1.44027,2.09767,1.94741,2.40281,-0.31308,-2.95385,1.76852,-1.17065,-2.48011
"EMC-BAC-2",1.31445,0.59683,-2.30874,0.44877,0.64794,-0.00483,0.19464,0.66997,0.99107,0.56861,0.89168
"EN",0.4651,-0.57002,-0.49155,1.03327,-0.52895,-2.06211,2.25612,2.28427,-2.75233,0.09877,1.86954
"EoL-1-cell",-2.98955,-0.44924,2.6731,-1.35327,-2.56614,1.69703,-1.61564,0.41133,-0.70326,-0.67315,0.57191
"EPLC-272H",-0.59863,0.95577,-0.81727,0.52175,1.22927,1.05633,1.40008,-0.35551,2.2531,-1.27133,-0.15527
"ES-2",1.71835,0.80019,-2.44866,1.11577,0.38134,-0.43002,-1.05222,2.32883,1.03152,2.14096,1.1688
"ES1",-0.75608,-0.38472,1.86629,-1.41516,0.23114,-0.02935,-0.24308,-3.88269,-0.49603,0.70731,2.5976
"ES3",-0.20896,0.35659,0.59989,-2.84561,-1.74527,-1.84672,0.15519,1.53698,-2.87258,-0.36401,2.08125
"ES4",-0.11602,-1.57808,1.8207,-0.9032,-0.59342,-0.60867,-1.23923,-1.30434,-1.78817,0.78535,0.27354
"ES5",-1.37031,-1.47434,0.4371,0.01654,-2.09528,-1.16153,-1.74875,-3.66736,-2.31412,0.16801,-0.10261
"ES6",-1.2109,-0.96938,-0.53849,-0.38951,-0.32421,-3.03314,-0.69374,0.1448,-2.46503,1.42362,4.30877
"ES7",0.02846,0.68011,-0.81982,-3.21059,-0.39848,0.1918,-1.87686,0.64701,-0.46861,-0.25807,2.88168
"ES8",0.34923,-0.70809,0.55376,-3.71428,-1.44336,-1.10682,-1.83678,2.74972,-2.06195,0.18217,-0.68246
"ESO26",-2.06811,-0.8428,-0.32335,1.0957,1.09664,1.82093,0.31529,0.13624,0.95019,-2.93751,-1.3504
"ESO51",2.19775,0.32034,-0.59079,2.39452,3.56281,0.98259,-0.33031,-2.06104,1.55987,-1.50687,-2.56265
"ESS-1",1.05297,1.62354,-1.09686,2.7773,1.76761,0.83527,-1.41583,2.57996,1.81438,0.93274,0.59066
"ETK-1",0.57952,0.89799,-1.28411,1.7331,2.17261,1.28515,3.16584,-0.26483,0.2127,0.38719,0.18857
"EVSA-T",-3.73334,-2.36224,-0.12248,-0.04974,-0.71494,-1.88488,2.18815,-1.71054,-2.07393,-0.17157,0.61806
"EW-1",-0.14867,-0.56569,0.11345,-4.08986,-1.01468,-0.36024,-1.88623,-0.56886,-0.88226,0.749,-1.08129
"EW-11",-1.18512,-1.9151,0.84131,-1.34998,-1.8777,-1.96797,-0.58796,1.81408,-2.72907,0.2264,1.5011
"EW-12",-2.15472,-2.89576,-0.27916,-2.68678,-2.33224,-2.09667,-1.66713,0.28589,-2.37663,-0.84441,1.51643
"EW-13",-0.66628,-1.7704,1.06753,-2.64121,-1.32135,-2.15368,-2.42998,1.8847,-2.07473,-1.14099,1.18056
"EW-16",-2.45489,-0.64241,0.60395,-1.9294,-0.68419,-1.62613,-2.22621,-1.48132,-1.26646,-0.75633,-0.52704
"EW-18",-2.38613,-1.01417,1.24284,-2.08033,-2.81996,-2.87016,-0.31299,2.3183,-3.09465,-0.96191,1.85374
"EW-22",-1.54559,-2.22822,0.89666,0.60583,-1.93689,-1.63256,-0.14757,3.47936,-2.3896,-2.18203,4.75429
"EW-24",-1.00869,-0.83919,0.4802,-1.01315,-1.70221,-0.8262,-1.11023,1.42641,-1.54284,0.2722,4.87241
"EW-3",-1.62192,-1.16395,-0.39012,-2.48104,-3.24488,-1.40893,-0.23452,1.6444,-1.41697,-0.91234,-0.12629
"EW-7",-0.03952,0.90704,-0.31082,-3.26668,-0.33549,-1.02981,-2.08254,-3.30094,-1.27473,-1.18347,-0.46065
"FADU",-0.01604,1.04167,0.00603,0.77109,1.51653,0.60481,4.74928,-1.12901,0.54677,-2.1731,-0.10266
"Farage",-1.75143,-2.17597,1.81044,-4.08645,-4.89663,3.54434,-0.36502,-0.43895,0.90544,-0.4746,1.03145
"FLO-1",-0.38093,0.11417,0.10022,1.64817,0.42944,0.36686,0.83712,-2.20619,1.48307,1.0342,0.70221
"FTC-133",1.99183,-0.42015,-2.37651,-0.07408,0.27762,0.58479,-1.09734,2.10753,1.45255,1.79419,0.19644
"FU-OV-1",1.46981,0.13916,-1.47137,2.17774,0.72109,-0.35729,-1.13627,0.41571,0.86731,2.7867,1.41385
"FU97",-0.55013,-0.84741,-0.04855,0.16865,-0.90224,-1.43285,-0.51541,-0.20167,0.09421,1.22282,0.41198
"G-292 Clone A141B1",3.51575,1.17849,-3.79994,-1.19379,-0.13865,-1.72178,-1.979,3.49046,-0.64356,0.38149,1.28218
"G-361",0.73095,0.28903,0.17033,0.41067,-1.23725,0.73023,1.25439,2.27072,-0.96364,0.77767,-2.23033
"G-401",0.45531,0.23954,0.24523,-2.43425,-0.61965,-2.95288,-0.05531,0.63509,-1.12292,-1.14744,-0.28949
"G-402",1.78243,0.02814,0.91649,-1.30406,1.85479,-4.40198,-0.08449,-0.68054,-1.43153,-2.38852,1.21126
"G-MEL",-1.02841,-0.5171,1.74058,0.70244,-1.07016,-0.37253,-0.40817,-0.89924,1.36214,1.61947,-2.41909
"GA-10",-1.55073,1.3127,2.43224,-1.89291,-1.61921,3.15391,-0.29803,-1.96375,1.59618,0.72989,0.28867
"GAK",1.01903,0.71723,-0.79054,-0.66362,-0.67392,0.02345,-0.49998,1.88125,-0.43219,2.00609,-4.5237
"GAMG",3.60615,4.77739,-1.87607,1.18031,1.15975,-0.65745,-2.44816,0.21318,3.58265,0.06638,-0.34522
"GB-1",2.17643,1.99148,-0.45414,-1.26022,-0.23842,-0.18619,-2.86629,1.77402,0.26603,1.56139,-0.52306
"GCIY",-0.05474,0.09307,-1.64651,0.61738,1.53615,0.32845,1.32756,-0.77623,-0.23849,0.42948,0.60099
"GCT",2.04706,2.08369,1.21848,-0.84422,-0.95492,1.42219,-2.41477,2.37611,3.91159,2.38114,-1.49258
"GDM-1",-2.97753,-0.2253,2.24745,-1.46565,-0.30947,1.96245,-0.1254,1.12327,-1.77963,2.72022,-1.77259
"GI-1",2.33496,1.26741,-1.42494,-0.32246,-0.64429,-4.23598,-1.15282,3.90976,0.58689,1.49032,1.1458
"GI-ME-N",2.37497,-0.56252,-0.92366,-1.3988,1.20581,-3.85553,-1.41792,2.71096,-0.01656,1.45426,-0.84954
"GMS-10",1.1865,1.65111,-2.89547,0.41036,0.28782,0.15325,-1.70421,2.52207,1.67727,1.60417,-0.45197
"GOTO",-0.68524,-0.67794,-0.57835,-0.53516,-1.5395,-3.00157,0.38765,1.58795,-2.51432,1.22564,1.82408
"GP5d",-1.68666,-2.12463,0.65691,0.10139,-0.17595,-0.90978,1.0509,1.06944,-1.49822,-2.19074,-2.26064
"GR-ST",0.11868,-0.25432,1.73514,-2.90009,-3.26513,1.44212,-1.56856,0.12272,-1.24249,-0.13631,0.00233
"GRANTA-519",-0.55717,-0.06425,2.12687,-1.87432,-1.89863,3.48665,0.41136,-0.57126,0.98372,-1.05499,0.39529
"GT3TKB",2.03714,1.10106,-2.87961,-1.32079,0.18092,0.3596,-0.3886,-2.47009,2.88022,2.59258,1.55828
"H-EMC-SS",0.05645,0.91316,1.23986,-1.96279,-0.20609,-1.63233,-1.26814,-0.07139,-3.70502,0.20004,1.86254
"H2369",5.2451,5.3756,-0.39778,0.8003,-0.00087,0.59416,-3.92142,2.31103,2.8309,-0.16727,-0.12406
"H2373",3.79275,1.65162,-1.85805,1.12214,0.14228,-0.19281,-2.55118,4.09983,-0.38687,1.36243,-0.51607
"H2461",3.20262,3.05183,-0.93369,2.08549,0.87965,-0.34237,-0.72433,2.5464,0.44696,3.88972,2.59296
"H2591",2.22954,1.66684,-1.78628,2.67129,0.70633,0.4657,0.17824,1.68006,0.36463,1.84378,-0.59424
"H2595",1.87441,0.7748,-0.34851,0.12771,1.52653,-0.79467,0.40019,1.95604,0.04934,2.99333,1.47798
"H2722",5.16549,1.91886,-2.56024,-0.4088,1.28737,-0.81598,-1.72073,3.46361,-0.75108,1.60139,-0.57527
"H2731",2.13547,2.46691,-1.85786,0.16401,0.62213,-1.16784,0.22999,3.63178,-0.2506,2.66594,0.77108
"H2795",1.23733,-0.76773,-0.88156,0.67423,1.49232,0.02588,-0.73583,-0.20445,0.48141,0.90191,-2.60372
"H2803",1.75652,1.81392,-1.36456,0.42344,1.39986,0.84074,-1.98086,1.53602,0.2166,1.29556,-1.48765
"H2804",2.30765,1.94263,-0.30857,1.51874,1.21623,-0.30148,-0.1096,2.36202,1.57159,2.24173,0.5492
"H2810",2.666,2.89046,-2.6263,1.69826,3.47028,1.82002,0.91888,2.11223,1.83858,2.2882,-0.06848
"H2818",3.85996,0.9014,-1.63131,0.9137,1.94389,0.65826,-2.65241,3.94273,1.92205,-0.21542,-0.90322
"H2869",2.88378,0.73948,-3.08727,2.3889,2.3208,0.3847,-0.25433,-0.33789,1.4307,3.93312,-2.45294
"H290",2.27706,6.23366,-1.63738,-1.23961,-0.78712,0.31689,-0.79263,-0.20066,-0.54532,4.58105,0.40972
"H3118",0.97685,0.2735,-0.76467,1.11787,-0.22824,-0.08304,-0.08825,-0.28241,-0.3886,-0.11703,0.22474
"H3255",-0.69617,-0.61812,0.55851,1.13067,0.10107,-0.54741,0.16386,-2.19537,0.14821,-0.36217,0.13504
"H4",2.35617,0.18276,-0.66521,0.90854,1.04584,0.13252,-0.30796,1.36037,2.80004,1.57133,0.70336
"H513",0.53553,0.70118,-1.50646,-2.27274,1.00716,-1.80343,5.58911,-1.74194,-0.5344,0.50544,-1.17018
"H9",-4.10606,-4.33888,3.69373,0.12484,-1.92334,3.01841,-0.58609,0.18469,1.22628,0.35692,-0.34795
"HA7-RCC",0.66648,0.50994,-1.91068,3.61626,1.55457,0.5877,0.1016,-1.01572,2.28484,1.81762,2.05822
"HAL-01",-2.23017,-0.26663,1.73271,-2.76717,-3.78155,0.66103,-1.99533,1.11443,-0.20232,2.11826,-1.09976
"HARA",-1.01479,-3.37766,0.20167,0.38838,0.84393,-0.54561,1.01853,1.52917,-1.37175,-2.07112,1.61394
"HC-1",-2.59404,-0.99564,2.10451,-2.77812,-1.52389,4.2735,0.48443,-0.71703,1.90357,0.71395,-1.74601
"HCC-15",0.50923,0.46184,-1.20929,0.44575,2.57294,0.44953,1.0037,-0.90758,3.76516,-0.63912,-0.15783
"HCC-366",0.73014,2.05941,-1.56953,1.43384,1.12177,2.79447,2.02518,-2.14641,4.17431,0.87808,-0.61731
"HCC-44",0.15548,0.3309,-1.52706,1.04247,2.24201,-0.14921,1.87794,-1.91472,1.32529,0.88137,2.13081
"HCC-56",-0.40958,-0.81071,2.0111,1.55554,0.73001,0.22505,1.78856,0.06574,0.51641,-2.2546,0.50639
"HCC-78",-0.72987,0.57938,-0.53051,2.53368,1.91863,2.63945,2.5461,-0.70169,0.57159,-2.76846,0.06793
"HCC-827",-0.14475,1.15644,-0.26815,0.59916,0.86909,1.2727,1.23786,-3.17565,2.25973,-1.51965,-3.307
"HCC1143",0.25599,0.80569,0.55585,0.8076,1.48773,0.66516,0.18538,-0.93756,0.96323,-1.69481,-0.94029
"HCC1187",-2.48257,0.0167,-0.38236,1.22767,-0.51533,-0.02085,1.35066,1.34683,0.20878,-1.70173,-1.28306
"HCC1395",2.83091,2.72179,-0.82157,2.21266,0.1365,-1.63269,0.08977,1.69256,1.2581,0.75041,0.33174
"HCC1419",-1.13323,-1.42579,-0.81701,-0.77515,0.08616,-2.48626,1.22449,-2.29854,-1.28324,-0.16731,-0.96524
"HCC1428",-0.96223,-1.88484,0.80195,0.00544,-0.84066,-0.96045,0.09245,-2.21063,-2.9005,-3.93487,-0.70811
"HCC1500",-1.24775,-1.01216,-1.04164,0.25456,-1.78464,-0.8668,0.74305,-0.88546,-0.94311,-2.17228,-1.77053
"HCC1569",-0.66428,-0.0487,-2.31399,0.19407,-0.27463,0.5401,-1.16614,-2.23261,0.1132,0.45773,-1.04736
"HCC1599",-0.72227,0.33192,-0.22776,1.37169,-0.16303,0.06438,0.29479,-0.03389,-1.68543,0.85352,-0.77816
"HCC1806",-0.20826,1.45191,0.68462,0.86062,0.49249,1.26786,-1.61594,0.02894,2.19926,-1.53184,-1.53549
"HCC1937",0.15256,-0.41803,0.70812,0.75861,0.69191,-0.07049,2.1714,-0.13315,0.26383,-3.22705,1.20853
"HCC1954",-1.3684,-1.59861,0.28059,1.92792,0.69586,0.29622,4.05682,0.23605,0.17177,-2.29165,-1.97189
"HCC202",-2.31135,-1.37823,-0.99271,-0.57805,-0.77569,-3.29904,1.7963,-2.09784,-1.2998,-4.68806,-1.40282
"HCC2157",-1.92888,-0.61265,-0.13711,0.16319,0.04556,-0.72143,1.99874,-0.283,-1.87313,-1.83714,0.29232
"HCC2218",-3.03577,-2.85128,-0.48533,0.3639,0.32485,-2.31202,1.40681,-5.08273,-0.85547,-0.24971,-1.09001
"HCC2998",-1.52628,-3.94517,-1.52873,2.15738,-0.75892,0.52342,1.36714,-1.39391,-0.19296,-2.73233,-0.77352
"HCC38",0.76548,0.08944,-4.19891,-0.50661,0.42241,1.09797,1.11127,1.29275,0.01304,0.05632,0.19888
"HCC70",-2.23034,-1.65772,0.39352,-0.65448,-0.78833,0.35146,1.22858,-0.19334,0.24657,-1.49692,-2.60924
"HCE-4",0.95404,1.06298,-1.93986,-0.77083,-0.23042,0.18069,0.18811,1.84404,0.57858,0.81158,2.79168
"HCT-116",0.52588,0.35836,-1.32662,0.20201,0.93976,1.58706,0.66723,-0.5446,-0.27172,-0.70448,1.59803
"HCT-15",-2.0029,-1.89602,-0.39643,1.5104,0.1791,-0.50144,0.59599,0.32262,-0.74733,-0.98388,0.25837
"HD-MY-Z",2.08801,4.8232,-1.4133,0.89434,1.68199,-0.85931,-1.89668,2.28507,1.25536,1.07463,-1.09472
"HDLM-2",-0.23658,-2.49854,1.70741,-0.6393,-0.67546,4.86197,-2.08865,0.41194,2.19839,-1.76299,-0.82241
"HDQ-P1",0.24609,0.91774,0.70942,-0.70608,-0.02076,0.02051,0.59315,-0.64299,0.5972,-0.2657,-5.10048
"HEC-1",-0.97121,-1.28911,-0.8795,0.96862,0.18986,-0.48481,3.37761,-1.18629,-1.41194,1.0772,0.16839
"HEL",-2.69975,0.11961,5.00175,-0.96599,-1.15305,2.34425,-1.99907,0.53387,-1.32518,0.13525,0.05719
"HeLa",1.18898,-1.41118,-0.56658,1.74126,-0.21071,-0.3608,1.59493,1.12706,0.53778,1.76164,1.81746
"Hep 3B2_1-7",0.00082,-0.20103,-0.08279,-3.07264,-0.9968,-2.17114,-0.49123,-4.01356,0.98027,3.36572,4.15486
"Hey",1.11328,1.27307,-1.02807,0.5678,2.17033,1.29913,-0.68849,-0.38418,-0.17726,4.10152,0.12087
"HGC-27",-0.09908,-1.54936,-0.09982,-1.32972,-2.81868,-1.99076,-0.35407,2.67048,-2.4316,-1.4884,2.09671
"HH",-1.40041,-0.94091,2.58149,-3.94344,-1.93878,1.47785,-1.87907,0.38083,2.07552,-2.60275,0.14556
"HL-60",-2.04693,-0.90819,4.10074,-0.37368,-0.39573,2.34672,-1.50085,0.90273,0.9173,0.05097,0.69195
"HLE",0.03958,1.40341,-2.04409,-0.92383,0.68438,-1.45786,0.62283,0.05534,-0.47427,0.40563,0.30675
"HMV-II",-0.81468,0.52193,-0.88739,-1.36733,-1.07743,0.20913,-1.02119,1.82394,0.00309,3.17814,-3.87796
"HN",0.00425,0.54044,-0.93564,1.96325,2.3691,1.28322,0.56595,0.79707,2.11657,-1.38193,-3.91651
"HO-1-N-1",-0.20681,3.07597,-1.52224,-0.64196,2.71193,2.12172,0.9475,0.16836,3.1257,-2.67574,-5.16265
"HO-1-u-1",-0.66444,1.40461,-0.04704,5.18108,1.17817,-0.35835,1.54317,-0.412,1.90915,-1.98186,1.14673
"HOP-62",2.19001,2.2381,-0.64408,0.09094,1.66351,0.53827,-4.35354,1.85451,1.49339,1.41136,-2.39757
"HOP-92",1.63955,3.29312,-2.27815,2.71072,1.27416,0.24491,-1.53996,1.31034,1.02421,0.47453,0.56722
"HOS",1.50571,-0.74524,-0.95278,1.92433,0.76425,-0.80552,-2.4684,-0.72568,-0.47201,2.33625,3.7253
"HPAC",0.70301,2.7458,0.25061,0.79577,3.50417,1.59007,1.92056,-0.25293,0.54714,-0.68023,0.25894
"HPAF-II",0.13438,0.88822,-0.83325,1.8255,2.30347,0.21046,2.52928,-0.26472,0.55742,-2.74745,-0.06369
"Hs-445",-2.27324,-0.62851,2.90725,-1.71323,-2.1461,3.95016,-0.63889,-0.71521,1.58971,-0.46546,-2.54208
"Hs-578-T",4.56469,2.53098,-0.55447,0.1988,1.15888,-0.52771,-3.13964,1.96247,1.14083,0.49709,0.38725
"Hs633T",1.78495,2.1661,-0.52425,0.40967,1.44818,0.16034,-1.8708,3.76216,1.16926,3.00435,0.42613
"Hs683",2.88506,1.20731,-1.09263,-0.11913,0.63452,0.38219,-3.24607,-0.90421,4.50968,1.59747,0.20135
"Hs746T",1.04248,0.7036,-1.83806,-1.27414,-0.26848,-0.61472,-3.07442,-0.82417,-0.4393,-0.21082,-4.84962
"Hs766T",1.12262,3.15147,-1.15422,-0.62947,1.34187,1.28078,0.46084,0.19154,1.14143,4.66623,-1.88796
"Hs940-T",3.08588,2.21911,-0.19614,0.09996,0.93706,2.9189,-3.31511,1.58657,7.5228,1.23599,0.17716
"HSC-2",0.26783,1.50894,0.20453,-0.03383,2.17271,0.44659,2.81788,-0.82259,0.95926,-2.14027,1.12542
"HSC-3",0.17792,1.42911,-1.71318,-0.11686,4.33973,1.92367,0.43953,0.59792,2.7097,-2.63888,-3.15359
"HSC-39",-1.45136,-3.22002,-0.39659,-0.02288,-0.43774,-2.06161,2.03692,-0.75131,-1.3278,-4.06898,0.4179
"HSC-4",0.22966,1.97666,-0.17249,0.23452,0.98458,1.23278,2.87341,0.28629,1.52797,-0.42633,-1.11537
"HT-1080",1.17545,2.59173,-0.62452,0.6826,1.15947,0.71146,-0.98997,-0.20677,0.23544,2.2691,1.96902
"HT-115",-2.3928,-2.57323,0.88877,1.25809,0.44164,1.15172,2.62883,0.39312,-0.01051,-4.97058,-1.17772
"HT-1197",0.79356,0.13159,-1.55203,1.60314,1.09238,-0.24845,-0.58067,2.00794,-0.03055,-0.37087,-1.86031
"HT-1376",-0.33595,-0.72131,-0.03813,0.9523,0.33781,0.29415,1.37732,-1.88965,-0.19335,-0.98156,2.07773
"HT-144",0.81002,0.27716,-0.02597,0.07388,-1.04861,0.0718,0.35418,3.31301,-1.34015,2.55699,0.1211
"HT-29",-0.00426,-1.14875,2.31351,0.44925,0.92347,0.00308,1.20755,-2.21283,-0.54181,-1.94515,0.89912
"HT-3",-0.58775,-0.07295,-0.05919,4.51848,1.28337,1.49888,1.68741,-0.60248,2.30744,0.00804,2.28752
"HT55",-1.22253,-1.01694,1.09138,-0.70673,-0.68808,-1.47195,1.92401,0.48671,-1.26705,-3.28199,-0.49643
"HTC-C3",0.81849,0.20484,-0.09522,-0.49052,0.20272,0.89162,0.96109,-0.54468,2.5329,-1.44568,-4.61644
"HuCCT1",0.02362,-1.25384,0.74307,1.0607,2.20817,2.04519,1.0056,-0.47556,1.98079,-0.65663,0.46674
"huH-1",-0.75142,-1.59761,-1.69489,-1.20475,-0.76647,-1.34837,1.39335,-1.81222,0.5552,0.14622,-1.14894
"HuH-7",-0.74295,0.30878,0.5357,-0.0967,-0.96202,-1.58983,-1.40308,0.99828,0.14445,0.27844,2.11838
"HuO-3N1",4.50283,1.26832,-2.25779,-0.0383,2.00254,0.11254,-5.05623,5.05674,1.25362,1.32414,-0.81417
"HuO9",1.36412,-1.93702,-0.72995,-0.41911,-0.48767,-0.90448,-2.80978,3.27869,-2.29349,0.37989,-0.68706
"HuP-T3",0.26785,-0.6496,0.70327,0.77086,0.85525,0.52849,-0.10766,-1.62266,1.53825,-2.0231,-2.81022
"HuP-T4",-0.67334,-0.02121,-1.23426,1.87022,0.32793,0.83111,1.299,-2.6869,0.29634,-2.46283,-1.824
"HUTU-80",-0.14891,-0.9484,-0.31987,-3.83215,-1.97289,-0.03253,0.52638,-0.68406,-1.6838,-0.97304,-0.50968
"IA-LM",0.49921,1.90488,-1.59666,-0.81213,1.16,1.18806,-0.24224,-2.01353,0.72183,1.67562,0.32158
"IGR-1",0.82845,0.89497,0.76619,-0.94518,-0.53667,0.72035,0.16254,-2.40356,-0.41666,2.00177,0.5906
"IGR-37",0.45146,0.40841,-0.01235,-0.01183,-0.9826,-0.48502,-0.01685,-2.22425,-0.79512,1.36561,-2.79887
"IGROV-1",-0.57832,0.23304,-1.19688,1.3719,2.55586,-0.02009,0.43726,0.22039,-0.41123,1.10421,-0.5474
"IHH-4",0.52117,0.86238,-0.84942,-1.17432,0.22251,-0.38129,0.56533,-1.45395,1.96866,1.05985,0.17515
"IM-9",-2.1952,0.34964,2.11581,-2.71897,-3.20909,7.01083,-2.44966,0.36852,1.76071,2.0909,-1.73312
"IM-95",-1.97427,-4.49696,0.64253,1.7724,-0.75298,-0.02403,1.66572,0.86903,-0.11771,-2.60338,-1.14203
"IMR-5",-0.66636,-1.65486,0.92418,1.87054,-2.75031,-3.65766,-0.77666,1.46796,-3.59234,0.41109,1.74838
"IPC-298",-0.22285,0.71622,-0.04672,0.1815,0.44773,1.10483,0.41761,-2.12723,-0.8955,2.75822,-2.3031
"IST-MEL1",1.4617,0.43672,0.96079,0.54359,1.60021,0.16409,-1.0468,3.2996,0.68481,4.86311,0.02197
"IST-MES1",1.46797,2.39433,-0.07631,0.26438,2.15238,-0.77773,-2.47607,2.05933,-0.14778,1.04318,2.12106
"IST-SL1",-0.42091,-1.33609,1.37244,0.84595,-1.39292,-3.19556,-1.05323,1.06584,-1.96752,-0.28333,2.56297
"IST-SL2",-1.94467,-1.98143,0.2034,-1.52612,-2.04045,-1.52666,0.02437,0.49045,-1.59369,-0.64497,0.1815
"J82",1.35059,0.61537,-1.98225,0.7464,0.3808,0.88755,-1.08339,-1.27315,0.71261,1.57392,-1.44279
"JAR",-1.71115,-0.74847,-0.03447,-0.06598,-0.88567,-4.17245,1.05996,-1.61934,-1.68176,-1.20107,0.70991
"JEG-3",-0.42633,0.4165,-0.62598,0.25637,-0.09742,-1.02635,-0.97751,-0.89982,-0.99891,-1.68817,0.65894
"JEKO-1",-0.32366,-0.19419,1.78963,-2.74871,-2.75372,2.12832,-1.77069,-1.5387,-0.12544,-0.49783,0.70615
"JHH-1",0.24798,-0.22946,0.28418,-0.14369,0.79682,-0.23423,0.42714,0.67484,0.66921,-1.16447,-0.2365
"JHH-2",2.36585,1.50738,-2.04688,0.10646,3.47915,-0.88944,-0.96956,-2.63715,2.06251,0.00442,-0.52311
"JHH-4",0.58405,-1.003,0.2467,1.27519,2.27673,-0.53347,0.94895,-0.20747,0.03912,1.33702,-0.39633
"JHH-6",0.70356,2.15119,-0.53852,0.03212,-0.41121,0.49076,0.34615,1.30586,0.12287,-0.05647,-2.09143
"JHH-7",-0.72773,0.67727,0.84992,-0.92559,-0.53918,-0.39627,0.16284,-1.33652,0.06355,-0.27747,0.54417
"JHOS-2",1.22974,2.94999,-4.11844,1.5376,5.23548,1.27569,1.71465,-2.98988,1.77712,-0.37588,-1.19521
"JHOS-3",1.26533,0.27185,-1.25222,0.49802,1.36274,2.11122,0.85715,-0.4152,-0.27882,-2.22332,-0.5275
"JHOS-4",0.83844,1.08017,0.02129,1.69913,-0.12068,1.36165,2.1731,-3.1997,0.67492,-0.96682,-0.68055
"JHU-011",0.50837,0.43078,-0.92963,-0.13764,0.06724,2.16008,0.0589,0.22531,2.20322,-1.15929,-5.03236
"JHU-022",0.23679,3.42458,-0.48142,0.67863,1.36751,-0.40723,3.95648,-0.2817,-0.10909,-0.48768,-1.68661
"JHU-029",1.23881,2.5081,-1.14202,-0.08464,2.58207,0.78866,0.97832,1.0521,1.30046,-2.01547,-0.52146
"JIMT-1",1.35692,0.53829,0.14854,1.33347,0.2109,-1.41555,-0.16682,-0.57249,0.01553,-0.74222,-0.93863
"JiyoyeP-2003",-1.72499,-0.50727,3.46431,-1.67443,-1.79114,3.65081,-2.21742,-0.74193,1.9394,-2.64706,0.78026
"JJN-3",-0.72959,-0.72516,2.28563,-0.68948,-2.33684,2.75887,-0.43505,1.44572,0.67975,1.47074,-0.06881
"JM1",-1.14578,0.05074,1.6082,-0.72898,-2.18976,0.09143,1.06959,-1.0093,-1.63437,-0.56224,2.2457
"JSC-1",-1.19403,-1.16187,2.26498,-1.43887,-0.68829,1.57413,-0.12885,-0.14783,-0.32172,-0.1176,0.82053
"Jurkat",-0.80572,-1.55747,4.33519,-2.1937,-1.88181,1.27127,-0.07017,0.55838,-0.656,-0.8012,-0.7461
"JURL-MK1",-1.73981,0.02696,2.88414,-2.67989,-0.66807,1.04085,-0.02269,1.10451,-0.29669,0.87778,0.86585
"JVM-2",-1.38387,0.73956,2.54958,-1.29773,-1.46884,4.69041,-0.43649,-1.87821,1.16261,-0.17534,0.52333
"JVM-3",-1.40252,0.15249,2.67911,-1.75033,-1.14944,5.41517,-2.82536,0.14847,1.80395,-0.23252,1.00924
"K-562",-1.92646,-1.16378,2.75416,-1.42064,-1.15719,-0.94419,0.20051,0.78967,-0.4164,-1.01074,2.05572
"K2",0.18452,0.52988,0.53001,-0.18889,-0.47572,-0.77398,1.23419,-2.45315,-1.73945,4.08577,0.43702
"K5",2.00947,2.8457,-2.51854,-0.49643,1.98502,1.44204,-0.06471,-0.53068,2.98493,0.43134,-1.94461
